カテゴリ,かな,入力1,入力2,入力3
清音,あ,a,,
清音,い,i,yi,
清音,う,u,wu,
清音,え,e,ye,
清音,お,o,,
清音,か,ka,,
清音,き,ki,,
清音,く,ku,qu,
清音,け,ke,,
清音,こ,ko,,
清音,さ,sa,,
清音,し,si,shi,
清音,す,su,,
清音,せ,se,,
清音,そ,so,,
清音,た,ta,,
清音,ち,ti,chi,
清音,つ,tu,tsu,
清音,て,te,,
清音,と,to,,
清音,な,na,,
清音,に,ni,,
清音,ぬ,nu,,
清音,ね,ne,,
清音,の,no,,
清音,は,ha,,
清音,ひ,hi,,
清音,ふ,hu,fu,
清音,へ,he,,
清音,ほ,ho,,
清音,ま,ma,,
清音,み,mi,,
清音,む,mu,,
清音,め,me,,
清音,も,mo,,
清音,や,ya,,
清音,ゆ,yu,,
清音,よ,yo,,
清音,ら,ra,,
清音,り,ri,,
清音,る,ru,,
清音,れ,re,,
清音,ろ,ro,,
清音,わ,wa,,
清音,を,wo,,
清音,ん,nn,n,
濁音,が,ga,,
濁音,ぎ,gi,,
濁音,ぐ,gu,,
濁音,げ,ge,,
濁音,ご,go,,
濁音,ざ,za,,
濁音,じ,zi,ji,
濁音,ず,zu,,
濁音,ぜ,ze,,
濁音,ぞ,zo,,
濁音,だ,da,,
濁音,ぢ,di,,
濁音,づ,du,,
濁音,で,de,,
濁音,ど,do,,
濁音,ば,ba,,
濁音,び,bi,,
濁音,ぶ,bu,,
濁音,べ,be,,
濁音,ぼ,bo,,
半濁音,ぱ,pa,,
半濁音,ぴ,pi,,
半濁音,ぷ,pu,,
半濁音,ぺ,pe,,
半濁音,ぽ,po,,
拗音,きゃ,kya,,
拗音,きゅ,kyu,,
拗音,きょ,kyo,,
拗音,しゃ,sya,sha,
拗音,しゅ,syu,shu,
拗音,しょ,syo,sho,
拗音,ちゃ,tya,cha,
拗音,ちゅ,tyu,chu,
拗音,ちょ,tyo,cho,
拗音,にゃ,nya,,
拗音,にゅ,nyu,,
拗音,にょ,nyo,,
拗音,ひゃ,hya,,
拗音,ひゅ,hyu,,
拗音,ひょ,hyo,,
拗音,みゃ,mya,,
拗音,みゅ,myu,,
拗音,みょ,myo,,
拗音,りゃ,rya,,
拗音,りゅ,ryu,,
拗音,りょ,ryo,,
拗音,ぎゃ,gya,,
拗音,ぎゅ,gyu,,
拗音,ぎょ,gyo,,
拗音,じゃ,ja,zya,
拗音,じゅ,ju,zyu,
拗音,じょ,jo,zyo,
拗音,びゃ,bya,,
拗音,びゅ,byu,,
拗音,びょ,byo,,
拗音,ぴゃ,pya,,
拗音,ぴゅ,pyu,,
拗音,ぴょ,pyo,,
特殊,ふぁ,fa,,
特殊,ふぃ,fi,,
特殊,ふぇ,fe,,
特殊,ふぉ,fo,,
特殊,てぃ,thi,,
特殊,でぃ,dhi,,
特殊,でゅ,dhu,,
小書き,ぁ,la,xa,
小書き,ぃ,li,xi,
小書き,ぅ,lu,xu,
小書き,ぇ,le,xe,
小書き,ぉ,lo,xo,
小書き,っ,ltu,xtu,
小書き,ゃ,lya,xya,
小書き,ゅ,lyu,xyu,
小書き,ょ,lyo,xyo,
